gtid,tool_type,diameter_mm,diameter_inch,flute_count,corner_radius_mm,flute_length_mm,overall_length_mm,shank_diameter_mm,substrate,coating,manufacturer,edp_number,vendor,vendor_part_number,vendor_url,max_doc_mm,max_woc_mm,requires_tsc,requires_climb,is_consumable_class,notes,machine_name,t_number,h_register,d_register
100003,drill,5.7,0.2244,2,,28,66,6,carbide,,Kennametal,4150222,Kennametal,4150222,,20,,false,false,false,"GOdrill 3xD straight shank metric, grade KC7325, 140deg point (point length 0.95mm), ANSI catalog B041A05700CPG. SWAPPED OUT of station 57 (dbc00per 2026-07-28): N57 is now the OSG 215-2244 stub (GTID 100027); catalog-only, no assignment",,,,
100004,em_corner_radius,25.4,1.0,2,0.8128,16.002,127.762,25.4,,,Kennametal,5672718,,5720VZD16 BODY EDP 5672718 + ZDET16M508FR721 GH1 INSERT EDP 5665949 / HOLDER ARCH 966-000-004,,,,false,false,false,"N10_1"" 2FL 5720 INDEXABLE EM .63"" F/L | Indexable Stellram 5720; CR .032in + OAL 5.03in per spec-techdb-insert N301 record; insert ZDET16M508FR721 GH1 EDP 5665949; holder ARCH 966-000-004 (1in shank)",Viper LG-1000AP,10,,
100005,em_corner_radius,3.175,0.125,4,0.254,12.7,,,carbide,,Kennametal,6676350,,H1TE4RA0125X050HAR010 KCSM15 EDP # 6676350,,,,false,false,false,"N12_1/8"" 4FL CR .010 CRB EM 1/2"" F/L | HARVI I TE, grade KCSM15",Viper LG-1000AP,12,,
100006,em_corner_radius,4.7625,0.1875,4,0.762,15.875,,,carbide,,Kennametal,6676356,,H1TE4RA0188L063HAR030 KCSM15 EDP # 6676356,,,,false,false,false,"N18_.1875 4FL CR .03 CRB HOG NOSE EM 5/8"" F/L | HARVI hog nose, grade KCSM15",Viper LG-1000AP,18,,
100007,em_corner_radius,9.525,0.375,4,0.508,22.225,,,carbide,,Sharp Cutter,90-4375-4,,EDP# 90-4375-4,,,,false,false,false,N37_.375 4FL CR .020 CRB EM .875 F/L,Viper LG-1000AP,37,,
100008,drill,2.7,0.1063,2,,13.0048,,4,carbide,,OSG,3330270,,ADF-2D 2.7 EDP # 3330270,,,,false,false,false,"N27_.1063 DIA 2FL CRB F/B DRILL .512 F/L | FLAT-BOTTOM (F/B): tip angle 180, no point; real 4mm shank per hand-entered in_DRILLS 422",Viper LG-1000AP,27,,
100009,em_ball,1.5875,0.0625,2,,3.175,,,carbide,,Sharp Cutter,TF-062-SHORT,,EDP # TF-062-SHORT,,,,false,false,false,"N62_.0625"" 2FL CRB BN EM .125 F/L 3 DEG DRAFT ANGLE | 3 deg draft angle",Viper LG-1000AP,62,,
100010,em_square,31.75,1.25,3,,,,,,,Iscar,,,HM90 E90AD-D1.25-3W1.25XL / ADKT 150520R-HM IC328,,,,false,false,false,"N16_HM90 E90AD-D1.25-3W1.25XL_ADKT 150520R-HM IC328 | VERIFY: geometry read from part number (HM90 E90AD-D1.25-3W1.25XL = 1.25in, 3 insert), not from a label; indexable 90-deg shoulder mill, ADKT 150520R-HM IC328 inserts; no EDP in registry",Viper LG-1000AP,16,,
100011,spot_drill,6.35,0.25,2,,19.05,,,,,GARR,91310,,EDP # 91310,,,,false,false,false,"N28_1/4"" X 142 DEG 2FL 3/4"" F/L | 142 deg point; substrate not stated on label",Viper LG-1000AP,28,,
100012,drill,3.3,,2,,18.0086,,,carbide,,OSG,8690330,,A BRAND ADO-3D DIN 3.3MM EDP # 8690330,,,,false,false,false,"N33_3.3MM 140 DEG 2FL CRB C/T DRILL .709 F/L | A BRAND ADO-3D DIN, 140 deg point, coolant-thru (C/T), run flood on Viper AP",Viper LG-1000AP,33,,
100013,em_ball,5,,2,,5,,,carbide,,Sharp Cutter,TF-5MM SHORT,,EDP # TF-5MM SHORT,,,,false,false,false,N45_5MM 2FL CRB BN EM 5MM F/L 3 DEG DRAFT ANGLE | 3 deg draft angle,Viper LG-1000AP,45,,
100014,em_corner_radius,8,,2,1,,,,carbide,,Sharp Cutter,31-108,,EDP # 31-108,,,,false,false,false,N46_8MM 2FL CR 1MM CRB HOG NOSE EM | hog nose,Viper LG-1000AP,46,,
100015,em_square,2.5,,4,,5,,3,,tialn,GARR,02547,,EDP # 02547,,,,false,false,false,N97_2.5MM SQ EM 4FL 5MM F/L 3MM DH TIALN | 3mm shank per label (3MM DH); substrate not stated on label,Viper LG-1000AP,97,,
100016,probe,6,,,,,,,,,Marposs,,,VOP40 / 6MM RUBY STYLUS,,,,false,false,false,"N50_VOP40 SPINDLE PROBE 6MM RUBY STYLUS | Marposs VOP40 spindle probe, 6mm ruby stylus. T50/H50 reserved on Viper (R12) - assignment intentionally omitted; probe floats (random-return ATC), pot tagged dynamically",,,,
100017,em_square,50.8,2.0,5,,10.9982,,,,,Kennametal,6140060,,BODY M4D200L1105S075L157 EDP # 6140060 / INSERTS LNGU110404ERGE KCPM40 EDP # 6131516 QTY 5 / HOLDER CV40BSMC075350 EDP # 3641513,,,,false,false,false,"N20_2"" 5FL 4-11 INDEXABLE EM .433"" F/L | Indexable Mill 4-11 shell on CV40BSMC075350 3.5in arbor EDP 3641513; inserts LNGU110404ERGE KCPM40 EDP 6131516 qty 5; face-mill candidate - tool_type follows registry class EM/flat",Viper LG-1000AP,20,,
100018,em_square,50.8,2.0,5,,10.9982,,,,,Kennametal,6140060,,BODY M4D200L1105S075L157 EDP # 6140060 / INSERTS LNGU110404ERGE KCPM40 EDP # 6131516 QTY 5 / HOLDER CV40BSMC075600 EDP # 3641515,,,,false,false,false,"N21_2"" 5FL 4-11 INDEXABLE EM .433"" F/L X-REACH | X-REACH twin of N20 on CV40BSMC075600 6in arbor EDP 3641515; inserts LNGU110404ERGE KCPM40 EDP 6131516 qty 5; face-mill candidate - tool_type follows registry class EM/flat",Viper LG-1000AP,21,,
100019,tap,5,,2,,,,,,,OSG,2963500,,HY-PRO AL M5X0.8 D5 MOD-BOTT EDP # 2963500,,,,false,false,false,"N5_M5X0.8 2FL SPIRAL FLUTE TAP HY-PRO AL | M5x0.8 spiral flute, HY-PRO AL, D5 mod-bottoming",Viper LG-1000AP,5,,
100020,drill,4.2,,2,,35.9918,,,carbide,,OSG,HP255-1654,,HY-PRO CARB OH 5XD EDP # HP255-1654,,,,false,false,false,"N42_4.2MM 2FL CRB C/T DRILL 1.417 F/L | HY-PRO CARB OH 5xD, coolant-thru (C/T)",Viper LG-1000AP,42,,
100021,em_ball,3.175,0.125,2,,4.7625,,,carbide,,Sharp Cutter,TF-125-SHORT,,EDP # TF-125-SHORT,,,,false,false,false,N14_.125 2FL CRB BN EM .1875 F/L,Viper LG-1000AP,14,,
100022,em_ball,0.7925,0.0312,2,,1.5875,,,carbide,,Sharp Cutter,84-2032,,EDP # 84-2032,,,,false,false,false,"N63_.0312 2FL CRB BN EM .0625 F/L 1/4"" REACH | 1/4in reach",Viper LG-1000AP,63,,
100023,reamer,3,,4,,,,,carbide,,Guhring,9016850030000,,HR500 3MM H7 EDP # 9016850030000,,,,false,false,false,N30_3MM 4FL CRB REAMER | HR500 3mm H7,Viper LG-1000AP,30,,
